Format,Traqmate Trackvision,V2
Track,Portland International Raceway
Vehicle,CORRADO
Driver,DJ
Starting Date,2019/08/18
Starting Time,16:53:001
Sample Rate (samps/sec),10
Duration (secs),1952
Elapsed Time,Lat (Degrees),Lon (Degrees),Altitude (meters),Velocity (MPH),Lap
11.375,45.595524,-122.696026,6.0,44.693456,1
11.4,45.595525,-122.696033,6.0,44.840862,1
11.425,45.595526,-122.696039,6.0,44.987286,1
11.45,45.595528,-122.696045,6.0,45.116021,1
11.475,45.595529,-122.696051,6.0,45.224119,1
11.5,45.59553,-122.696059,6.0,45.98496699999999,1
11.525,45.595532,-122.696066,6.0,46.100927,1
11.55,45.595533,-122.696072,6.0,46.21099,1
11.575,45.595534,-122.696078,6.0,46.338743,1
11.6,45.595535,-122.696085,6.0,46.474357,1
11.625,45.595537,-122.696091,6.0,46.602109,1
11.65,45.595538,-122.696098,6.0,46.731827,1
11.675,45.595539,-122.696104,6.0,46.876285,1
11.7,45.59554,-122.696111,6.0,47.00502000000001,1
11.725,45.595542,-122.696117,6.0,47.105257,1
11.75,45.595543,-122.696125,6.0,47.205493,1
11.775,45.595544,-122.696131,6.0,47.34209,1
11.8,45.595546,-122.696138,6.0,47.485564999999994,1
11.825,45.595547,-122.696144,6.0,47.645747,1
11.85,45.595548,-122.696151,6.0,47.801998,1
11.875,45.59555,-122.696157,6.0,47.901252,1
11.9,45.595551,-122.696164,6.0,47.974955,1
11.925,45.595552,-122.696171,6.0,48.08895,1
11.95,45.595554,-122.696177,6.0,48.210806,1
11.975,45.595555,-122.696184,6.0,48.345437,1
12.0,45.595556,-122.696192,6.0,48.685943,1
12.025,45.595558,-122.696199,6.0,48.829419,1
12.05,45.595559,-122.696205,6.0,48.944396,1
12.075,45.595561,-122.696212,6.0,49.068217,1
12.1,45.595562,-122.696219,6.0,49.181229,1
12.125,45.595563,-122.696226,6.0,49.289327,1
12.15,45.595565,-122.696232,6.0,49.425924,1
12.175,45.595566,-122.696239,6.0,49.560555,1
12.2,45.595567,-122.696246,6.0,49.686342,1
12.225,45.595569,-122.696253,6.0,49.792475,1
12.25,45.595571,-122.696261,6.0,49.89860800000001,1
12.275,45.595572,-122.696268,6.0,50.009654,1
12.3,45.595573,-122.696275,6.0,50.096132,1
12.325,45.595575,-122.696282,6.0,50.201282,1
12.35,45.595576,-122.696289,6.0,50.289726,1
12.375,45.595578,-122.696296,6.0,50.337879,1
12.4,45.595579,-122.696303,6.0,50.386032,1
12.425,45.595581,-122.69631,6.0,50.426323,1
12.45,45.595582,-122.696317,6.0,50.444994,1
12.475,45.595583,-122.696323,6.0,50.498061,1
